"storage_C:\_%";"storage_C:\_GB";"cpu_Intel(R)-Xeon(R)-CPU-E5-2690-v3-@-2.60GHz_%";"storage_G:\_%";"storage_G:\_GB";"storage_D:\_%";"storage_D:\_GB";"ram_DDR4_%";"ram_DDR4_GB";"storage_E:\_GB";"storage_E:\_%";"storage_H:\_%";"storage_H:\_GB";"quantity_connections";"download";"upload";"timestamp"
63.9;446.5;8.6;79.1;57.63;16.3;931.51;38.9;47.9;1024;88.4;85.3;0.03;0;2021.15;1031.63;"2025-04-24 00:54:55"
63.9;446.5;1.3;79.1;57.63;16.3;931.51;38.9;47.9;1024;88.4;85.3;0.03;0;2021.16;1031.63;"2025-04-24 00:54:56"
63.9;446.5;0.9;79.1;57.63;16.3;931.51;38.9;47.9;1024;88.4;85.3;0.03;0;2021.16;1031.63;"2025-04-24 00:54:57"
63.9;446.5;2.1;79.1;57.63;16.3;931.51;38.9;47.9;1024;88.4;85.3;0.03;0;2021.16;1031.63;"2025-04-24 00:54:58"
63.9;446.5;1.3;79.1;57.63;16.3;931.51;38.9;47.9;1024;88.4;85.3;0.03;0;2021.16;1031.63;"2025-04-24 00:54:59"
63.9;446.5;2.4;79.1;57.63;16.3;931.51;38.9;47.9;1024;88.4;85.3;0.03;0;2021.16;1031.63;"2025-04-24 00:55:00"
63.9;446.5;2.4;79.1;57.63;16.3;931.51;38.9;47.9;1024;88.4;85.3;0.03;0;2021.16;1031.63;"2025-04-24 00:55:01"
63.9;446.5;6.1;79.1;57.63;16.3;931.51;39;47.9;1024;88.4;85.3;0.03;0;2021.17;1031.66;"2025-04-24 00:55:02"
63.9;446.5;6;79.1;57.63;16.3;931.51;39;47.9;1024;88.4;85.3;0.03;0;2021.18;1031.67;"2025-04-24 00:55:03"
63.9;446.5;2.7;79.1;57.63;16.3;931.51;39;47.9;1024;88.4;85.3;0.03;0;2021.2;1031.74;"2025-04-24 00:55:04"
63.9;446.5;3.2;79.1;57.63;16.3;931.51;39.1;47.9;1024;88.4;85.3;0.03;0;2021.2;1031.75;"2025-04-24 00:55:05"
63.9;446.5;3.1;79.1;57.63;16.3;931.51;39.1;47.9;1024;88.4;85.3;0.03;0;2021.21;1031.76;"2025-04-24 00:55:06"
63.9;446.5;3;79.1;57.63;16.3;931.51;39;47.9;1024;88.4;85.3;0.03;0;2021.21;1031.76;"2025-04-24 00:55:07"
63.9;446.5;3.8;79.1;57.63;16.3;931.51;39;47.9;1024;88.4;85.3;0.03;0;2021.22;1031.77;"2025-04-24 00:55:08"
63.9;446.5;6.3;79.1;57.63;16.3;931.51;39;47.9;1024;88.4;85.3;0.03;0;2021.23;1031.78;"2025-04-24 00:55:09"
63.9;446.5;2.8;79.1;57.63;16.3;931.51;39;47.9;1024;88.4;85.3;0.03;0;2021.23;1031.78;"2025-04-24 00:55:10"
63.9;446.5;4.4;79.1;57.63;16.3;931.51;39;47.9;1024;88.4;85.3;0.03;0;2021.24;1031.79;"2025-04-24 00:55:11"
